x,y,pet,t,ntzg,hour
8.481307582414962,49.47018097644503,43.6808,35.1998,22,14
8.481307107564916,49.470225949002625,43.1615,35.1185,22,14
8.481306632713684,49.470270921559866,42.7837,34.9537,22,14
8.481306157861264,49.470315894116766,34.4805,32.8256,22,14
8.481305683007653,49.47036086667331,33.5402,33.3912,24,14
8.481305208152856,49.47040583922948,34.647,32.9751,22,14
8.48130473329687,49.47045081178531,34.785,33.024,22,14
8.481304258439698,49.470495784340784,35.1762,33.4812,22,14
8.481303783581335,49.4705407568959,45.6513,35.2693,20,14
8.481303308721786,49.47058572945067,45.6867,35.2787,20,14
8.481302833861049,49.47063070200507,45.6975,35.2845,20,14
8.481302358999123,49.47067567455912,45.7023,35.2874,20,14
8.48130188413601,49.47072064711282,45.7041,35.2881,20,14
8.481301409271708,49.47076561966616,45.7041,35.2881,20,14
8.481398430115028,49.468112547824816,44.4041,35.2181,20,14
8.481397955382791,49.46815752039924,44.5579,35.2349,20,14
8.481397480649369,49.4682024929733,43.7192,34.1533,9,14
8.481397005914756,49.468247465547,43.0503,33.8433,22,14
8.481396531178957,49.46829243812036,42.6454,33.6094,22,14
8.48139605644197,49.46833741069335,42.3411,33.5302,22,14
8.481395581703795,49.46838238326599,42.1653,33.5623,22,14
8.481395106964433,49.46842735583827,42.506,33.703,9,14
8.481394632223882,49.4684723284102,43.2552,34.2212,22,14
8.481394157482145,49.46851730098177,45.7091,35.2891,20,14
8.481393682739219,49.46856227355301,45.7079,35.2899,20,14
8.481393207995104,49.468607246123874,45.7107,35.2907,20,14
8.481392733249804,49.46865221869438,45.7113,35.2913,20,14
8.481392258503314,49.468697191264525,45.7109,35.2919,20,14
8.481391783755639,49.468742163834335,45.6957,35.2927,20,14
8.481391309006773,49.468787136403776,45.7138,35.2928,20,14
8.48139083425672,49.46883210897288,45.6965,35.2935,20,14
8.48139035950548,49.46887708154161,45.6985,35.2955,20,14
8.481389884753051,49.468922054109996,45.5206,35.2956,20,14
8.481389409999435,49.46896702667802,45.6224,35.2964,20,14
8.481388935244631,49.46901199924569,45.6433,35.2973,20,14
8.48138846048864,49.46905697181301,45.673,35.297,20,14
8.48138798573146,49.469101944379965,44.0138,35.2948,20,14
8.481387510973093,49.46914691694658,42.4382,34.2032,9,14
8.481387036213539,49.469191889512835,41.5277,34.0088,20,14
8.481386561452796,49.469236862078716,41.5737,34.1888,22,14
8.481386086690865,49.46928183464427,41.8189,34.3699,22,14
8.481385611927747,49.46932680720946,42.9709,34.7149,22,14
8.481385137163441,49.469371779774285,45.5547,35.2527,20,14
8.481384662397947,49.46941675233877,45.4892,35.2892,20,14
8.481384187631264,49.4694617249029,45.5806,35.2876,20,14
8.481383712863394,49.46950669746666,45.5719,35.2849,20,14
8.481383238094336,49.46955167003008,44.5238,35.2808,20,14
8.481382763324092,49.469596642593146,35.5649,33.4749,22,14
8.481382288552657,49.46964161515584,43.7799,34.9029,9,14
8.481381813780036,49.46968658771819,44.1174,35.1494,22,14
8.481381339006226,49.469731560280195,44.83,35.269,22,14
8.48138086423123,49.46977653284182,44.9496,35.2357,22,14
8.481380389455046,49.469821505403104,44.9117,35.2267,22,14
8.481379914677673,49.469866477964025,45.5163,35.2234,20,14
8.481379439899111,49.469911450524606,43.2205,33.7595,22,14
8.481378965119363,49.469956423084824,42.3101,33.7112,9,14
8.481378490338427,49.470001395644694,34.7405,32.1725,22,14
8.481378015556302,49.4700463682042,45.6841,35.2771,20,14
8.481377540772991,49.470091340763354,45.7912,35.3952,20,14
8.48137706598849,49.47013631332215,45.649,35.217,20,14
8.481376591202803,49.47018128588059,45.5122,35.2232,20,14
8.481376116415927,49.470226258438686,44.2584,35.2184,22,14
8.481375641627864,49.470271230996424,43.3024,35.1094,22,14
8.48137516683861,49.470316203553814,42.5426,34.8836,22,14
8.48137469204817,49.47036117611083,41.7519,34.5499,22,14
8.481374217256542,49.47040614866749,42.1245,34.3766,9,14
8.481373742463727,49.47045112122381,33.4807,33.3577,24,14
8.481373267669724,49.470496093779786,33.7666,32.6506,22,14
8.481372792874533,49.470541066335386,34.9911,33.2981,22,14
8.481372318078153,49.47058603889064,45.489,35.274,20,14
8.481371843280586,49.47063101144553,45.696,35.2841,20,14
8.48137136848183,49.47067598400007,45.704,35.287,20,14
8.481370893681888,49.47072095655425,45.7038,35.2878,20,14
8.481370418880756,49.47076592910808,45.7054,35.2874,20,14
8.481467435998457,49.46811285719676,43.5306,34.7086,22,14
8.481466961329382,49.468157829771656,44.1944,35.2224,20,14
8.48146648665912,49.4682028023462,44.6249,35.2409,20,14
8.48146601198767,49.46824777492041,43.6655,34.0685,9,14
8.481465537315033,49.468292747494246,42.4295,33.2356,22,14
8.481465062641208,49.46833772006774,42.1498,33.0858,9,14
8.481464587966196,49.46838269264086,42.1199,33.2739,9,14
8.481464113289995,49.46842766521363,42.4085,33.5605,9,14
8.481463638612608,49.46847263778605,43.5002,34.2112,22,14
8.481463163934034,49.468517610358106,45.7138,35.2928,20,14
