x,y,pet,t,ntzg,hour
8.46435211822242,49.48719406359397,45.8094,35.4155,20,14
8.464351627556095,49.48723903589601,45.809,35.415,20,14
8.464351136888542,49.487284008197676,45.8075,35.4145,20,14
8.464350646219762,49.487328980499,45.6491,35.4131,20,14
8.464448622546108,49.48467593371651,36.0019,33.9789,22,14
8.464448132011762,49.48472090603893,45.7374,35.4614,20,14
8.46444764147619,49.484765878360996,45.845,35.462,20,14
8.464447150939387,49.484810850682706,45.8454,35.4614,20,14
8.464446660401359,49.484855823004054,45.8442,35.4603,20,14
8.464446169862104,49.48490079532505,44.7469,35.4589,20,14
8.464445679321619,49.4849457676457,35.8853,33.9803,22,14
8.464445188779909,49.48499073996599,35.7631,33.9572,22,14
8.464444698236969,49.48503571228593,44.2559,35.4839,22,14
8.464444207692802,49.4850806846055,45.8504,35.4664,20,14
8.464443717147407,49.48512565692473,45.7876,35.4716,20,14
8.464443226600787,49.4851706292436,35.7946,33.7566,22,14
8.464442736052938,49.4852156015621,35.7693,33.4313,9,14
8.46444224550386,49.485260573880275,35.5089,33.523,22,14
8.464441754953555,49.48530554619808,35.9108,33.6908,22,14
8.464441264402021,49.485350518515524,45.5848,35.4768,20,14
8.464440773849264,49.48539549083262,45.6303,35.4743,20,14
8.464440283295275,49.48544046314935,45.8523,35.4713,20,14
8.464439792740059,49.48548543546573,45.8509,35.468,20,14
8.464439302183616,49.485530407781766,45.847,35.465,20,14
8.464438811625945,49.48557538009745,45.677,35.462,20,14
8.464438321067048,49.48562035241276,43.6378,35.0409,22,14
8.46443783050692,49.48566532472772,42.5809,34.5759,22,14
8.464437339945565,49.48571029704233,41.9143,34.6263,22,14
8.464436849382984,49.485755269356574,41.9009,34.7069,22,14
8.464436358819176,49.48580024167048,41.7837,34.7238,22,14
8.464435868254139,49.485845213984014,41.8594,34.7504,22,14
8.464435377687874,49.485890186297205,41.921,34.803,22,14
8.464434887120381,49.48593515861005,42.1966,34.8676,22,14
8.464434396551662,49.48598013092251,34.8777,33.4427,22,14
8.464433905981714,49.48602510323464,35.061,33.542,22,14
8.464433415410538,49.486070075546415,35.2298,33.6038,22,14
8.464432924838135,49.486115047857815,35.4349,33.6769,22,14
8.464432434264504,49.486160020168874,35.7516,33.7846,22,14
8.464431943689645,49.486204992479585,45.8245,35.4386,20,14
8.46443145311356,49.48624996478993,45.826,35.4411,20,14
8.464430962536245,49.48629493709992,45.8268,35.4438,20,14
8.464430471957703,49.486339909409544,35.8679,33.9469,20,14
8.464429981377933,49.48638488171884,35.8009,33.886,20,14
8.464429490796936,49.486429854027755,45.7673,35.3723,20,14
8.464429000214711,49.48647482633635,45.3746,35.3566,20,14
