x,y,pet
461338,5481473,null
461339,5481473,null
461340,5481473,null
461341,5481473,null
461342,5481473,null
461343,5481473,null
461344,5481473,null
461345,5481473,null
461346,5481473,null
461347,5481473,null
461348,5481473,null
461349,5481473,null
461350,5481473,null
461351,5481473,null
461352,5481473,null
461353,5481473,null
461354,5481473,null
461355,5481473,null
461356,5481473,null
461357,5481473,null
461358,5481473,null
461359,5481473,null
461360,5481473,null
461361,5481473,null
461362,5481473,null
461363,5481473,null
461364,5481473,null
461365,5481473,null
461366,5481473,null
461367,5481473,34.84
461368,5481473,34.80
461369,5481473,34.75
461370,5481473,34.71
461371,5481473,34.66
461372,5481473,34.62
461373,5481473,35.85
461374,5481473,37.08
461375,5481473,38.30
461376,5481473,39.53
461377,5481473,40.76
461378,5481473,39.51
461379,5481473,38.26
461380,5481473,37.02
461381,5481473,35.77
461382,5481473,34.52
461383,5481473,34.61
461384,5481473,34.70
461385,5481473,34.80
461386,5481473,34.89
461387,5481473,34.98
461388,5481473,34.98
461389,5481473,34.98
461390,5481473,34.98
461391,5481473,34.98
461392,5481473,null
461393,5481473,null
461394,5481473,null
461395,5481473,null
461396,5481473,null
461397,5481473,null
461398,5481473,null
461399,5481473,null
461400,5481473,null
461401,5481473,null
461402,5481473,null
461403,5481473,null
461404,5481473,null
461405,5481473,null
461406,5481473,null
461407,5481473,null
461408,5481473,null
461409,5481473,null
461410,5481473,null
461411,5481473,null
461412,5481473,null
461413,5481473,null
461414,5481473,null
461415,5481473,null
461416,5481473,null
461417,5481473,null
461418,5481473,null
461419,5481473,null
461420,5481473,null
461421,5481473,null
461422,5481473,null
461423,5481473,null
461424,5481473,null
461425,5481473,null
461426,5481473,null
461427,5481473,null
461428,5481473,null
461429,5481473,null
461430,5481473,null
461431,5481473,null
461432,5481473,null
461433,5481473,null
461434,5481473,null
461435,5481473,null
461436,5481473,null
461437,5481473,null
461438,5481473,null
461439,5481473,null
461440,5481473,null
461441,5481473,null
461442,5481473,null
461443,5481473,null
461444,5481473,null
461445,5481473,null
461446,5481473,null
461447,5481473,null
461448,5481473,null
461449,5481473,null
461450,5481473,null
461451,5481473,null
461452,5481473,43.56
461453,5481473,43.56
461454,5481473,43.56
461455,5481473,43.56
461456,5481473,43.56
461457,5481473,43.56
461458,5481473,43.61
461459,5481473,43.65
461460,5481473,43.70
461461,5481473,43.74
461462,5481473,43.79
461463,5481473,44.11
461464,5481473,44.44
461465,5481473,44.77
461466,5481473,45.10
461467,5481473,null
461468,5481473,null
461469,5481473,null
461470,5481473,null
461471,5481473,null
461472,5481473,36.80
461473,5481473,36.80
461474,5481473,36.79
461475,5481473,36.78
461476,5481473,36.78
461477,5481473,36.77
461478,5481473,36.72
461479,5481473,36.67
461480,5481473,36.62
461481,5481473,36.57
461482,5481473,36.52
461483,5481473,36.50
461484,5481473,36.48
461485,5481473,36.46
461486,5481473,36.44
461487,5481473,36.42
461488,5481473,36.41
461489,5481473,36.40
461490,5481473,36.39
461491,5481473,36.38
461492,5481473,null
461493,5481473,null
461494,5481473,null
461495,5481473,null
461496,5481473,null
461497,5481473,null
461498,5481473,null
461499,5481473,null
461195,5481474,null
461196,5481474,null
461197,5481474,null
461198,5481474,null
461199,5481474,null
461200,5481474,null
461201,5481474,null
461202,5481474,null
461203,5481474,null
461204,5481474,null
461205,5481474,null
461206,5481474,null
461207,5481474,36.72
461208,5481474,36.72
461209,5481474,36.72
461210,5481474,36.72
461211,5481474,36.72
461212,5481474,36.72
461213,5481474,37.63
461214,5481474,38.55
461215,5481474,39.46
461216,5481474,40.38
461217,5481474,41.29
461218,5481474,41.98
461219,5481474,42.66
461220,5481474,43.35
461221,5481474,44.04
461222,5481474,null
461223,5481474,null
461224,5481474,null
461225,5481474,null
461226,5481474,null
461227,5481474,null
461228,5481474,null
461229,5481474,null
461230,5481474,null
461231,5481474,null
461232,5481474,null
461233,5481474,null
461234,5481474,null
461235,5481474,null
461236,5481474,null
461237,5481474,null
461238,5481474,null
461239,5481474,null
461240,5481474,null
461241,5481474,null
461242,5481474,null
461243,5481474,null
461244,5481474,null
461245,5481474,null
461246,5481474,null
461247,5481474,null
461248,5481474,null
461249,5481474,null
461250,5481474,null
461251,5481474,null
461252,5481474,null
461253,5481474,null
461254,5481474,null
461255,5481474,null
461256,5481474,null
461257,5481474,null
461258,5481474,null
461259,5481474,null
461260,5481474,null
461261,5481474,null
461262,5481474,37.53
461263,5481474,37.51
461264,5481474,37.50
461265,5481474,37.48
461266,5481474,37.46
461267,5481474,37.45
461268,5481474,37.39
461269,5481474,37.34
461270,5481474,37.28
461271,5481474,37.23
461272,5481474,37.17
461273,5481474,37.84
461274,5481474,38.51
461275,5481474,39.18
461276,5481474,39.85
461277,5481474,40.52
461278,5481474,40.51
461279,5481474,40.50
461280,5481474,40.48
461281,5481474,40.47
461282,5481474,null
461283,5481474,null
461284,5481474,null
461285,5481474,null
461286,5481474,null
461287,5481474,null
461288,5481474,null
461289,5481474,null
461290,5481474,null
461291,5481474,null
461292,5481474,41.70
461293,5481474,41.70
461294,5481474,41.70
461295,5481474,41.70
461296,5481474,41.70
461297,5481474,41.70
461298,5481474,41.63
461299,5481474,41.57
461300,5481474,41.50
