x,y,pet
410745,5477423,null
410746,5477423,null
410747,5477423,null
410748,5477423,null
410749,5477423,null
410750,5477423,null
410751,5477423,null
410752,5477423,null
410753,5477423,null
410754,5477423,null
410755,5477423,34.81
410756,5477423,35.72
410757,5477423,36.62
410758,5477423,37.52
410759,5477423,38.42
410760,5477423,39.33
410761,5477423,40.23
410762,5477423,41.13
410763,5477423,42.03
410764,5477423,42.93
410765,5477423,43.38
410766,5477423,43.38
410767,5477423,43.38
410768,5477423,43.38
410769,5477423,43.38
410770,5477423,43.38
410771,5477423,43.38
410772,5477423,43.38
410773,5477423,43.38
410774,5477423,43.38
410775,5477423,null
410776,5477423,null
410777,5477423,null
410778,5477423,null
410779,5477423,null
410780,5477423,null
410781,5477423,null
410782,5477423,null
410783,5477423,null
410784,5477423,null
410785,5477423,null
410786,5477423,null
410787,5477423,null
410788,5477423,null
410789,5477423,null
410790,5477423,null
410791,5477423,null
410792,5477423,null
410793,5477423,null
410794,5477423,null
410795,5477423,null
410796,5477423,null
410797,5477423,null
410798,5477423,null
410799,5477423,null
410800,5477423,null
410801,5477423,null
410802,5477423,null
410803,5477423,null
410804,5477423,null
410805,5477423,41.89
410806,5477423,41.89
410807,5477423,41.89
410808,5477423,41.89
410809,5477423,41.89
410810,5477423,41.89
410811,5477423,41.89
410812,5477423,41.89
410813,5477423,41.89
410814,5477423,41.89
410815,5477423,41.87
410816,5477423,41.83
410817,5477423,41.79
410818,5477423,41.75
410819,5477423,41.71
410820,5477423,41.66
410821,5477423,41.62
410822,5477423,41.58
410823,5477423,41.54
410824,5477423,41.50
410825,5477423,null
410826,5477423,null
410827,5477423,null
410828,5477423,null
410829,5477423,null
410830,5477423,null
410831,5477423,null
410832,5477423,null
410833,5477423,null
410834,5477423,null
410835,5477423,null
410836,5477423,null
410837,5477423,null
410838,5477423,null
410839,5477423,null
410840,5477423,null
410841,5477423,null
410842,5477423,null
410843,5477423,null
410844,5477423,null
410845,5477423,null
410846,5477423,null
410847,5477423,null
410848,5477423,null
410849,5477423,null
410850,5477423,null
410851,5477423,null
410852,5477423,null
410853,5477423,null
410854,5477423,null
410855,5477423,40.55
410856,5477423,39.75
410857,5477423,38.94
410858,5477423,38.14
410859,5477423,37.33
410860,5477423,36.52
410861,5477423,35.72
410862,5477423,34.91
410863,5477423,34.11
410864,5477423,33.30
410865,5477423,32.88
410866,5477423,32.83
410867,5477423,32.78
410868,5477423,32.73
410869,5477423,32.68
410870,5477423,32.64
410871,5477423,32.59
410872,5477423,32.54
410873,5477423,32.49
410874,5477423,32.44
410875,5477423,32.85
410876,5477423,33.71
410877,5477423,34.58
410878,5477423,35.44
410879,5477423,36.31
410880,5477423,37.17
410881,5477423,38.04
410882,5477423,38.90
410883,5477423,39.76
410884,5477423,40.63
410885,5477423,41.06
410886,5477423,41.06
410887,5477423,41.06
410888,5477423,41.06
410889,5477423,41.06
410570,5477424,null
410571,5477424,null
410572,5477424,null
410573,5477424,null
410574,5477424,null
410575,5477424,null
410576,5477424,null
410577,5477424,null
410578,5477424,null
410579,5477424,null
410580,5477424,null
410581,5477424,null
410582,5477424,null
410583,5477424,null
